MODULAR VEST SYSTEM - COMPLETE SPAWNABLE CLASSNAME LIST
Generated directly from: pack\ModularVestSystem\config.cpp
Only classes with scope = 2 are included.
Generated: 2026-09-05 20:00:59

TOTAL SPAWNABLE CLASSNAMES: 575

======================================================================
VESTS / CHEST RIGS
COUNT: 16
======================================================================
MVS_ChestRig_Black  |  MVS Chestrig - Black
MVS_CountryFlag_Micronesia  |  MVS Country Flag - Micronesia
MVS_CountryFlag_Moldova  |  MVS Country Flag - Moldova
MVS_CountryFlag_Monaco  |  MVS Country Flag - Monaco
MVS_CountryFlag_Mongolia  |  MVS Country Flag - Mongolia
MVS_CountryFlag_Montenegro  |  MVS Country Flag - Montenegro
MVS_CountryFlag_Morocco  |  MVS Country Flag - Morocco
MVS_CountryFlag_Mozambique  |  MVS Country Flag - Mozambique
MVS_CountryFlag_Namibia  |  MVS Country Flag - Namibia
MVS_CountryFlag_Nauru  |  MVS Country Flag - Nauru
MVS_CountryFlag_Netherlands  |  MVS Country Flag - Netherlands
MVS_CountryFlag_NewZealand  |  MVS Country Flag - New Zealand
MVS_CountryFlag_Nicaragua  |  MVS Country Flag - Nicaragua
MVS_CountryFlag_Niger  |  MVS Country Flag - Niger
MVS_CountryFlag_Nigeria  |  MVS Country Flag - Nigeria
MVS_CountryFlag_NorthernIreland  |  MVS Country Flag - Northern Ireland
MVS_CountryFlag_Norway  |  MVS Country Flag - Norway
MVS_CountryFlag_Oman  |  MVS Country Flag - Oman
MVS_CountryFlag_Pakistan  |  MVS Country Flag - Pakistan
MVS_CountryFlag_Palau  |  MVS Country Flag - Palau
MVS_CountryFlag_Palestine  |  MVS Country Flag - Palestine
MVS_CountryFlag_Panama  |  MVS Country Flag - Panama
MVS_CountryFlag_PapuaNewGuinea  |  MVS Country Flag - Papua New Guinea
MVS_CountryFlag_Paraguay  |  MVS Country Flag - Paraguay
MVS_CountryFlag_Peru  |  MVS Country Flag - Peru
MVS_CountryFlag_Philippines  |  MVS Country Flag - Philippines
MVS_CountryFlag_Poland  |  MVS Country Flag - Poland
MVS_CountryFlag_Portugal  |  MVS Country Flag - Portugal
MVS_CountryFlag_PuertoRico  |  MVS Country Flag - Puerto Rico
MVS_CountryFlag_Qatar  |  MVS Country Flag - Qatar
MVS_CountryFlag_Romania  |  MVS Country Flag - Romania
MVS_CountryFlag_Russia  |  MVS Country Flag - Russia
MVS_CountryFlag_Rwanda  |  MVS Country Flag - Rwanda
MVS_CountryFlag_Samoa  |  MVS Country Flag - Samoa
MVS_CountryFlag_SanMarino  |  MVS Country Flag - San Marino
MVS_CountryFlag_SaudiArabia  |  MVS Country Flag - Saudi Arabia
MVS_CountryFlag_Scotland  |  MVS Country Flag - Scotland
MVS_CountryFlag_Senegal  |  MVS Country Flag - Senegal
MVS_CountryFlag_Serbia  |  MVS Country Flag - Serbia
MVS_CountryFlag_Seychelles  |  MVS Country Flag - Seychelles
MVS_CountryFlag_Sicily  |  MVS Country Flag - Sicily
MVS_CountryFlag_SierraLeone  |  MVS Country Flag - Sierra Leone
MVS_CountryFlag_Singapore  |  MVS Country Flag - Singapore
MVS_CountryFlag_Slovakia  |  MVS Country Flag - Slovakia
MVS_CountryFlag_Slovenia  |  MVS Country Flag - Slovenia
MVS_CountryFlag_SolomonIslands  |  MVS Country Flag - Solomon Islands
MVS_CountryFlag_Somalia  |  MVS Country Flag - Somalia
MVS_CountryFlag_SouthAfrica  |  MVS Country Flag - South Africa
MVS_CountryFlag_SouthKorea  |  MVS Country Flag - South Korea
MVS_CountryFlag_SouthVietnam  |  MVS Country Flag - South Vietnam
MVS_CountryFlag_Spain  |  MVS Country Flag - Spain
MVS_CountryFlag_SriLanka  |  MVS Country Flag - Sri Lanka
MVS_CountryFlag_StLucia  |  MVS Country Flag - St Lucia
MVS_CountryFlag_StMaarten  |  MVS Country Flag - St Maarten
MVS_CountryFlag_Sudan  |  MVS Country Flag - Sudan
MVS_CountryFlag_Suriname  |  MVS Country Flag - Suriname
MVS_CountryFlag_Swaziland  |  MVS Country Flag - Swaziland
MVS_CountryFlag_Sweden  |  MVS Country Flag - Sweden
MVS_CountryFlag_Switzerland  |  MVS Country Flag - Switzerland
MVS_CountryFlag_Syria  |  MVS Country Flag - Syria
MVS_CountryFlag_Taiwan  |  MVS Country Flag - Taiwan
MVS_CountryFlag_Tajikistan  |  MVS Country Flag - Tajikistan
MVS_CountryFlag_Tanzania  |  MVS Country Flag - Tanzania
MVS_CountryFlag_Thailand  |  MVS Country Flag - Thailand
MVS_CountryFlag_Tibet  |  MVS Country Flag - Tibet
MVS_CountryFlag_Togo  |  MVS Country Flag - Togo
MVS_CountryFlag_Tonga  |  MVS Country Flag - Tonga
MVS_CountryFlag_Trinidad  |  MVS Country Flag - Trinidad
MVS_CountryFlag_Tunisia  |  MVS Country Flag - Tunisia
MVS_CountryFlag_Turkey  |  MVS Country Flag - Turkey
MVS_CountryFlag_Turkmenistan  |  MVS Country Flag - Turkmenistan
MVS_CountryFlag_TurksCaicos  |  MVS Country Flag - Turks & Caicos
MVS_CountryFlag_Tuvalu  |  MVS Country Flag - Tuvalu
MVS_CountryFlag_UAE  |  MVS Country Flag - UAE
MVS_CountryFlag_Uganda  |  MVS Country Flag - Uganda
MVS_CountryFlag_Ukraine  |  MVS Country Flag - Ukraine
MVS_CountryFlag_UnitedKingdom  |  MVS Country Flag - United Kingdom
MVS_CountryFlag_UnitedNations  |  MVS Country Flag - United Nations
MVS_CountryFlag_UnitedStates  |  MVS Country Flag - United States
MVS_CountryFlag_Uruguay  |  MVS Country Flag - Uruguay
MVS_CountryFlag_USSR  |  MVS Country Flag - USSR
MVS_CountryFlag_Uzbekistan  |  MVS Country Flag - Uzbekistan
MVS_CountryFlag_Vanuatu  |  MVS Country Flag - Vanuatu
MVS_CountryFlag_Venezuela  |  MVS Country Flag - Venezuela
MVS_CountryFlag_Vietnam  |  MVS Country Flag - Vietnam
MVS_CountryFlag_Wales  |  MVS Country Flag - Wales
MVS_CountryFlag_Yemen  |  MVS Country Flag - Yemen
MVS_CountryFlag_Yugoslavia  |  MVS Country Flag - Yugoslavia
MVS_CountryFlag_Zambia  |  MVS Country Flag - Zambia
MVS_CountryFlag_Zimbabwe  |  MVS Country Flag - Zimbabwe
MVS_Patch_01  |  Identifier Patch - Squad Leader
MVS_Patch_02  |  Identifier Patch - Team Leader
MVS_Patch_03  |  Identifier Patch - Machinegunner
MVS_Patch_04  |  Identifier Patch - Medic
MVS_Patch_05  |  Identifier Patch - Sniper
MVS_Patch_06  |  Identifier Patch - Rifleman
MVS_Patch_07  |  Identifier Patch - US
MVS_Patch_08  |  Identifier Patch - UK
MVS_Patch_09  |  Identifier Patch - AUS
MVS_Patch_10  |  Identifier Patch - US
MVS_Patch_11  |  Identifier Patch - UK
MVS_Patch_12  |  Identifier Patch - AUS
MVS_Patch_13  |  Identifier Patch - Rotten's Raiders
MVS_Patch_14  |  Identifier Patch - A10 Warthog
MVS_Patch_15  |  Identifier Patch - EOD
MVS_Patch_16  |  Identifier Patch - F*ck Sh*t Up
MVS_Patch_17  |  Identifier Patch - No F*cks Given
MVS_Patch_18  |  Identifier Patch - I'm Too Old for This Sh*t
MVS_Patch_19  |  Identifier Patch - Weyland-Yutani Corp
MVS_Patch_20  |  Identifier Patch - The Warriors
MVS_Patch_21  |  Identifier Patch - Canada
MVS_Patch_22  |  Identifier Patch - Canada
MVS_Patch_23  |  Identifier Patch - OBEY
MVS_Patch_24  |  Identifier Patch - Blackwater
MVS_Patch_25  |  Identifier Patch - Lagoon Trade & Courier Services
MVS_Patch_26  |  Identifier Patch - HCLI
MVS_Patch_27  |  Identifier Patch - Boogaloo
MVS_Patch_28  |  Identifier Patch - UN
MVS_Patch_29  |  Identifier Patch - Umbrella
MVS_Patch_30  |  Identifier Patch - Umbrella
MVS_Patch_31  |  Identifier Patch - Romania
MVS_Patch_32  |  Identifier Patch - Sweden
MVS_Patch_33  |  Identifier Patch - Anarchy
MVS_Patch_34  |  Identifier Patch - RTO
MVS_Patch_35  |  Identifier Patch - This is the Way
MVS_Patch_36  |  Identifier Patch - ADMIN
Proxypatch
Proxypatch_01
Proxypatch_02
Proxypatch_03

======================================================================
ARMOR RACK / STORAGE
COUNT: 2
======================================================================
Armor_Rack  |  MVS Armor Rack Kit
ArmorRack_Kit  |  MVS Armor Rack Kit

======================================================================
OTHER / MISC
COUNT: 39
======================================================================
CfgNonAIVehicles
MVS_Balaclava_Black  |  MVS Balaclava - Black
MVS_Balaclava_OD  |  MVS Balaclava - OD
MVS_Balaclava_Snow  |  MVS Balaclava - Snow
MVS_Balaclava_Tan  |  MVS Balaclava - Tan
MVS_Balaclava_Wraith  |  MVS Wraith Mask
MVS_BoonieHat  |  MVS Boonie Hat - ERDL
MVS_BoonieHat_Multicam  |  MVS Boonie Hat - Multicam
MVS_BoonieHat_Multicam_Black  |  MVS Boonie Hat - Multicam Black
MVS_BoonieHat_Multicam_Tropic  |  MVS Boonie Hat - Multicam Tropic
MVS_BoonieHat_Snow  |  MVS Boonie Hat - Snow
MVS_Facemask_Black  |  MVS Facemask - Black
MVS_Facemask_OD  |  MVS Facemask - OD
MVS_Facemask_Snow  |  MVS Facemask - Snow
MVS_Facemask_Tan  |  MVS Facemask - Tan
MVS_FlatCap  |  MVS Flat Cap - ERDL
MVS_Rucksack_Black  |  MVS Rucksack - Black
MVS_Rucksack_ERDL  |  MVS Rucksack - ERDL
MVS_Rucksack_Multicam  |  MVS Rucksack - Multicam
MVS_Rucksack_Multicam_Black  |  MVS Rucksack - Multicam Black
MVS_Rucksack_Multicam_Tropic  |  MVS Rucksack - Multicam Tropic
MVS_Rucksack_OD  |  MVS Rucksack - OD
MVS_Rucksack_Snow  |  MVS Rucksack - Snow
MVS_Rucksack_Tan  |  MVS Rucksack - Tan
MVS_Shroud_Black  |  MVS Shroud - Black
MVS_Shroud_OD  |  MVS Shroud - OD
MVS_Shroud_Tan  |  MVS Shroud - Tan
ProxyBandage
ProxyEpinephrine
Proxymodular_weapon
Proxymodular_weapon_rack
ProxyMorphine
ProxyMVS_Lockpick
ProxyMVS_Pliers
ProxyMVS_Screwdriver
ProxyspawnHeadgear
ProxyspawnMask
ProxyspawnPack
ProxyspawnVest

